index,close,VWAP,high,MA,average_price,low,tomorrow_high
2000-01-03 14:30:00,145.4375,145.85416666666666,148.25,134.93009715000017,146.06,143.875,144.0625
2000-01-04 14:30:00,139.75,141.15104,144.0625,134.97915965000016,141.85,139.64061999999998,141.53125
2000-01-05 14:30:00,140.0,139.59375,141.53125,135.04822215000016,139.39,137.25,141.5
2000-01-06 14:30:00,137.75,139.0,141.5,135.1024409000002,139.62,137.75,145.75
2000-01-07 14:30:00,145.75,143.85416666666666,145.75,135.18369090000016,142.91,140.0625,146.90625
2000-01-10 14:30:00,146.25,146.0625,146.90625,135.27212840000016,145.97,145.03125,146.09375
2000-01-11 14:30:00,144.3125,144.63541666666666,146.09375,135.33790965000014,144.8,143.5,144.59375
2000-01-12 14:30:00,143.0625,143.51041666666666,144.59375,135.40087840000015,143.73,142.875,145.75
2000-01-13 14:30:00,145.0,144.67708333333334,145.75,135.4840034000002,144.52,143.28125,147.46875
2000-01-14 14:30:00,146.96875,146.80208333333334,147.46875,135.57212840000014,146.72,145.96875,146.625
2000-01-18 14:30:00,145.8125,145.875,146.625,135.63915965000015,145.91,145.1875,146.46875
2000-01-19 14:30:00,146.25,145.90625,146.46875,135.70994090000016,145.73,145.0,146.96875
2000-01-20 14:30:00,144.75,145.17708333333334,146.96875,135.76790965000018,145.39,143.8125,145.5
2000-01-21 14:30:00,144.4375,144.66666666666666,145.5,135.81587840000014,144.78,144.0625,145.84375
2000-01-24 14:30:00,140.34375,141.86458333333334,145.84375,135.84322215000014,142.62,139.40625,141.9375
2000-01-25 14:30:00,141.9375,140.95833333333334,141.9375,135.87134715000016,140.47,139.0,141.54686999999998
2000-01-26 14:30:00,140.8125,140.81770666666668,141.54686999999998,135.89822215000015,140.82,140.09375,142.21875
2000-01-27 14:30:00,140.25,140.19791666666666,142.21875,135.93369090000016,140.17,138.125,140.0625
2000-01-28 14:30:00,135.875,137.15625,140.0625,135.94978465000014,137.8,135.53125,139.67186999999998
2000-01-31 14:30:00,139.625,138.09895666666668,139.67186999999998,135.99025340000014,137.34,135.0,141.6875
2000-02-01 14:30:00,140.9375,140.38541666666666,141.6875,136.04744090000014,140.11,138.53125,142.25
2000-02-02 14:30:00,141.0625,141.22916666666666,142.25,136.09712840000014,141.31,140.375,143.25
2000-02-03 14:30:00,143.1875,142.14583333333334,143.25,136.13869090000014,141.62,140.0,144.0
2000-02-04 14:30:00,142.59375,142.90625,144.0,136.17087840000016,143.06,142.125,142.78125
2000-02-07 14:30:00,142.375,142.19791666666666,142.78125,136.20369090000014,142.11,141.4375,144.5625
2000-02-08 14:30:00,144.3125,144.16666666666666,144.5625,136.24228465000016,144.09,143.625,144.46875
2000-02-09 14:30:00,141.28125,142.33854,144.46875,136.26244090000014,142.87,141.26561999999998,142.5625
2000-02-10 14:30:00,141.5625,141.66666666666666,142.5625,136.29337840000017,141.72,140.875,141.9375
2000-02-11 14:30:00,138.6875,139.55208333333334,141.9375,136.31509715000016,139.98,138.03125,139.78125
2000-02-14 14:30:00,139.5,139.19791666666666,139.78125,136.34634715000016,139.05,138.3125,141.21875
2000-02-15 14:30:00,141.09375,140.03645666666668,141.21875,136.37337840000018,139.51,137.79686999999998,140.9375
2000-02-16 14:30:00,139.1875,139.64062333333334,140.9375,136.40056590000015,139.87,138.79686999999998,140.4375
2000-02-17 14:30:00,138.28125,138.97916666666666,140.4375,136.41790965000015,139.33,138.21875,138.875
2000-02-18 14:30:00,135.3125,136.27083333333334,138.875,136.42455030000016,136.75,134.625,136.34375
2000-02-22 14:30:00,134.96875,134.94791666666666,136.34375,136.42439405000016,134.94,133.53125,137.46875
2000-02-23 14:30:00,136.5625,136.17708333333334,137.46875,136.43556595000018,135.98,134.5,137.03125
2000-02-24 14:30:00,133.8125,134.64583333333334,137.03125,136.4261909500002,135.06,133.09375,136.71875
2000-02-25 14:30:00,133.32811999999998,134.39062333333334,136.71875,136.40908155000017,134.92,133.125,136.6875
2000-02-28 14:30:00,136.125,135.17708333333334,136.6875,136.4029878000002,134.7,132.71875,137.4375
2000-02-29 14:30:00,137.4375,136.875,137.4375,136.42126905000018,136.59,135.75,139.0
2000-03-01 14:30:00,138.4375,138.21875,139.0,136.44251905000021,138.11,137.21875,139.125
2000-03-02 14:30:00,138.53125,138.33333333333334,139.125,136.4654878000002,138.23,137.34375,141.71875
2000-03-03 14:30:00,141.125,140.85416666666666,141.71875,136.49658155000014,140.72,139.71875,141.34375
2000-03-06 14:30:00,139.8125,139.96875,141.34375,136.52517530000014,140.05,138.75,140.15625
2000-03-07 14:30:00,137.04686999999998,137.47395666666668,140.15625,136.54369090000014,137.69,135.21875,137.84375
2000-03-08 14:30:00,136.875,136.58333333333334,137.84375,136.57244090000015,136.44,135.03125,140.875
2000-03-09 14:30:00,140.875,139.29166666666666,140.875,136.63181590000016,138.5,136.125,142.0
2000-03-10 14:30:00,140.1875,140.57291666666666,142.0,136.6805659000002,140.77,139.53125,140.46875
2000-03-13 14:30:00,138.59375,138.52083333333334,140.46875,136.73072215000016,138.48,136.5,140.09375
