time,open,high,low,close,Plot,Plot,Plot,Plot,MA,MA,MA,MA,EMA,EMA,Basis,Upper,Lower,MA,MA,MA,MA,VWAP,Volume,Volume MA,RSI,EMA Divergence,Min,Max,-Min,-Max,ATR,Plot,Plot,Histogram,MACD,Signal,HV,ROC,Plot,Plot,Plot,OnBalanceVolume
728317800,43.9688,43.96899,43.75,43.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.88566333333333,1003200,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
728577000,43.96875,44.25,43.96875,44.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.15625,480500,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,480500
728663400,44.21875,44.375,44.125,44.34375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.28125,201300,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,681800
728749800,44.40625,44.84375,44.375,44.8125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.677083333333336,529400,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1211200
728836200,44.96875,45.09375,44.875,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.989583333333336,531500,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1742700
728922600,44.96875,45.0625,44.71875,44.96875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.916666666666664,492100,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1250600
729181800,44.96875,45.125,44.90625,44.96875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,596100,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1250600
729268200,44.8125,44.8125,44.5625,44.65625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.677083333333336,122100,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1128500
729354600,44.65625,44.75,44.53125,44.71875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.66666666666666,379600,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1508100
729441000,44.78125,45.125,44.78125,44.9375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.947916666666664,19500,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2747963038827383,NaN,NaN,NaN,1527600
729527400,44.875,44.875,44.59375,44.59375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.6875,42500,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.367037049441187,0.7768361581920904,NaN,NaN,NaN,1485100
729873000,44.46875,44.46875,43.40625,43.46875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.78125,374800,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.99802810708158,-1.9732205778717407,NaN,NaN,NaN,1110300
729959400,43.46875,43.53125,43.28125,43.4375,NaN,NaN,NaN,45.75,NaN,NaN,NaN,NaN,NaN,NaN,44.46878846153846,45.527386533848826,43.41019038922809,NaN,NaN,NaN,NaN,43.416666666666664,210900,NaN,NaN,NaN,1.5,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.846629297646174,-3.0683403068340307,NaN,NaN,NaN,899400
730045800,43.9375,43.9375,42.8125,43.40625,NaN,NaN,NaN,45.80625,NaN,NaN,NaN,NaN,NaN,NaN,44.42788461538461,45.600330851898434,43.25543837887079,NaN,NaN,NaN,NaN,43.385416666666664,378100,NaN,NaN,NaN,1.5,2.75,NaN,NaN,0.43301714285714255,NaN,NaN,NaN,NaN,NaN,16.024665375797916,-3.5416666666666665,NaN,NaN,NaN,521300
730132200,43.40625,43.5625,43.34375,43.5625,NaN,NaN,NaN,45.8625,NaN,NaN,NaN,NaN,NaN,NaN,44.375,45.63362409614021,43.11637590385979,NaN,NaN,NaN,NaN,43.489583333333336,34900,NaN,44.43621277226252,NaN,1.5,2.75,NaN,NaN,0.41771234693877524,NaN,NaN,NaN,NaN,NaN,15.930222836046168,-3.1271716469770676,NaN,NaN,NaN,556200
730391400,43.6875,43.78125,43.5625,43.71875,NaN,NaN,NaN,45.91875,NaN,NaN,NaN,NaN,NaN,NaN,44.32692307692308,45.63348367318947,43.02036248065669,NaN,NaN,NaN,NaN,43.6875,513600,NaN,47.07529963522664,NaN,1.5,2.75,NaN,NaN,0.4035007507288627,NaN,NaN,NaN,NaN,NaN,16.362753113939927,-2.779708130646282,NaN,NaN,NaN,1069800
730477800,43.84375,43.875,43.46875,43.6875,NaN,NaN,NaN,45.975,NaN,NaN,NaN,NaN,NaN,NaN,44.24038461538461,45.55583108266636,42.92493814810287,NaN,NaN,NaN,NaN,43.677083333333336,373700,NaN,46.598595030528045,NaN,1.5,2.75,NaN,NaN,0.4036971256768011,NaN,NaN,NaN,NaN,NaN,16.322871353771525,-2.1693491952414274,NaN,NaN,NaN,696100
730564200,43.71875,44.25,43.71875,44.25,NaN,NaN,NaN,46.03125,NaN,NaN,NaN,NaN,NaN,NaN,44.18269230769231,45.423486813610765,42.94189780177385,NaN,NaN,NaN,NaN,44.072916666666664,26300,NaN,55.361077219383105,NaN,1.5,2.75,NaN,NaN,0.41504018812845817,NaN,NaN,NaN,NaN,NaN,18.32688019390691,-1.0482180293501049,NaN,NaN,NaN,722400
