Date,tmr_high,tmr_low,y_hat_high,y_hat_low
2000-01-28,139.671875,135.0,138.64406360824012,134.34783805695974
2000-02-03,144.0,142.125,143.98689434209126,141.62330176868832
2000-02-07,144.5625,143.625,143.4377809240866,141.8484977509701
2000-02-10,141.9375,138.03125,142.04995959250715,140.20654457353788
2000-02-14,141.21875,137.796875,140.1407077201245,137.7687752300897
2000-02-18,136.34375,133.53125,137.17705174079737,133.35630470852337
2000-02-23,137.03125,133.09375,137.82127814773435,135.60792743202015
2000-02-24,136.71875,133.125,136.44087736542082,132.89981512347646
2000-02-29,139.0,137.21875,138.81227876347066,136.14938478851954
2000-03-02,141.71875,139.71875,138.9105779982684,136.5389397064505
2000-03-03,141.34375,138.75,142.1184104859343,138.83618256979724
2000-03-06,140.15625,135.21875,141.3711442565303,138.05047514184906
2000-03-20,149.75,144.5,147.52236807678872,145.16844430860766
2000-03-22,153.46875,149.15625,150.49603809798708,147.5342706883614
2000-03-24,153.78125,151.8125,154.34775719784938,151.88828402244022
2000-03-30,152.3125,148.4375,150.23474724093904,147.42156210697502
2000-04-13,142.8125,133.5,146.74514694928365,143.75637971921194
2000-04-14,140.75,134.6875,139.45073322845755,134.7608958254287
2000-04-19,143.9375,142.375,145.18530763341087,142.25899946007087
2000-04-25,148.75,146.0,148.5265464331239,146.09097723921593
2000-04-26,147.34375,143.0,147.93200353501337,145.4573200074178
2000-04-27,147.859375,145.0625,147.40014875658235,144.96858734609458
2000-05-02,144.0,139.78125,146.3129390668927,142.62864630437787
2000-05-04,144.0,140.9375,142.3504589561761,140.0181261313989
2000-05-10,141.5,139.125,140.22556883387085,136.6156386715109
2000-05-11,143.46875,141.625,141.70476350881808,138.96467656147112
2000-05-17,146.3125,143.375,146.4522163753812,144.11621663866742
2000-05-23,140.6875,136.5,139.72329419475656,136.39232750375282
2000-05-25,139.6875,137.328125,139.89072969952335,136.55356152259156
2000-05-30,144.0,142.09375,143.67742281666332,141.50939470377298
2000-05-31,145.4375,143.0,144.31032327294724,141.9083169196762
2000-06-02,148.21875,146.875,148.73635848851677,146.35212536140847
2000-06-05,147.78125,145.90625,147.73625808754323,145.875311403625
2000-06-08,147.96875,145.625,147.6396662639607,145.61032739141888
2000-06-09,146.96875,144.875,147.75846645785828,145.60845876903684
2000-06-13,148.875,147.1875,148.2284507146159,145.4805620966073
2000-06-19,148.875,147.0,149.12672931694445,147.42108120896748
2000-06-20,148.4375,146.890625,148.5625848204396,146.44110452774882
2000-06-22,146.125,143.875,147.51676545077197,144.72254413472092
2000-06-26,146.71875,145.015625,146.95831774429118,144.7571956126273
2000-06-28,145.75,143.515625,147.00559039165313,144.63151891536282
2000-07-10,149.125,147.15625,148.58311715498434,146.5283803184865
2000-07-12,150.375,149.1875,149.84665516750115,147.7611301857568
2000-07-26,146.625,144.6875,146.86863512157595,144.4911711597786
2000-07-28,144.125,142.0625,144.51933099399406,141.91640224523698
2000-07-31,144.71875,143.125,145.39152414360692,142.02586976532962
2000-08-04,148.4375,146.375,147.12727799859064,144.97805536042327
2000-08-11,149.5625,147.0625,147.88672858080028,145.6432007875023
2000-08-18,150.71875,149.40625,150.4481899774805,148.91886675758767
2000-08-21,151.3125,150.09375,150.7499742386418,149.35205319778345
2000-08-22,151.28125,149.28125,150.92818216807686,149.38700705752944
2000-08-23,151.5,150.5,151.150926152839,149.37650318954329
2000-08-29,151.5,150.34375,152.41148226134484,151.02137059766235
2000-08-30,153.09375,150.90625,151.42644729512352,149.66643620991687
2000-09-13,149.9375,148.15625,149.81391425561057,147.95007658324087
2000-09-14,148.25,146.0,150.26045661358518,148.19609939595935
2000-09-15,146.96875,144.203125,147.58901662376454,144.45461328325993
2000-09-19,146.03125,143.15625,146.38202878711374,144.11178539825195
2000-09-26,143.96875,142.125,145.31549122971106,142.40585091739297
2000-09-28,145.96875,143.625,146.4998133073489,144.20292959189007
2000-10-02,145.75,142.28125,145.06717593589508,142.00100977093007
2000-10-03,144.25,141.75,144.40220158480545,142.0328413071991
2000-10-04,144.84375,143.3125,144.55674555209637,142.51152293305705
2000-10-09,141.25,137.6875,140.89599882693844,138.55029989558085
2000-10-13,138.234375,136.6875,138.71843454054334,135.8058426295872
2000-10-18,139.453125,136.4375,135.76121601522897,131.98795885836523
2000-10-19,141.1875,138.375,140.08378850180003,138.28720793649558
2000-10-23,141.9375,139.0,140.93637113414957,138.73970067566626
2000-10-24,139.5625,136.125,141.0019452676045,138.17204967035187
2000-10-25,137.65625,134.03125,138.44137142427874,135.36969482297545
2000-10-27,141.09375,138.15625,139.93845135968036,138.16289559989934
2000-10-30,143.6875,140.0625,140.73782737874637,138.44449213414612
2000-11-03,144.296875,143.03125,143.3249177426736,141.86368370662046
2000-11-07,144.0625,140.5625,144.14630131985007,142.1047172198253
2000-11-14,140.109375,137.75,140.2964821948922,138.1218422851561
2000-11-15,139.875,137.3125,140.49452392809232,138.330338586428
2000-11-20,136.1875,133.515625,136.24586336325592,132.61712987184976
2000-11-27,136.59375,133.640625,136.92245912034502,135.16752519234507
2000-11-28,135.90625,133.265625,136.4587214964419,132.57945693578367
2000-11-29,133.5,129.75,136.02760006272047,132.2862488899047
2000-11-30,134.0625,131.0,133.48116744077356,131.24639763337515
2000-12-08,139.5625,136.71875,137.02030125771464,132.81300993158263
2000-12-11,138.8125,137.375,139.83968040819522,137.01327460665004
2000-12-12,139.40625,136.03125,138.72870437708858,136.2116872435839
2000-12-13,136.5,134.03125,137.47743203261402,135.12545138328824
