date,tmr_high,tmr_low,roll_high,roll_low,predicted_high,predicted_low,adj_tmr_high,adj_tmr_low,adj_pred_high,adj_pred_low
2020-05-05,0.04999389648435226,0.7260009765624886,288.4099975585938,283.0539978027344,0.21847213653746972,0.26066815797219267,288.4599914550781,283.7799987792969,288.62846969513123,283.3146659607066
2020-05-06,0.9119995117187614,2.4080078124999886,288.8679992675781,284.7219970703125,0.20838873844271286,0.23964607862413903,289.7799987792969,287.1300048828125,289.0763880060208,284.9616431489367
2020-05-07,2.06201171875,2.9879882812500114,290.88800048828125,286.8719970703125,0.24477312870516998,0.263117765309709,292.95001220703125,289.8599853515625,291.1327736169864,287.1351148356222
2020-05-08,2.1140014648437386,2.4460083007812727,291.88599853515626,287.4339965820312,0.22194802219494625,-0.12981010776592897,294.0,289.8800048828125,292.1079465573512,287.3041864742653
2020-05-11,2.6079895019531136,0.04999389648435226,291.6320007324219,286.4699951171875,0.06737571016511061,-1.5041639648026026,294.239990234375,286.5199890136719,291.699376442587,284.9658311523849
2020-05-12,-3.50799560546875,-4.682000732421898,290.697998046875,283.6419921875,-1.0986480190259988,-1.0338762879623173,287.19000244140625,278.9599914550781,289.599350027849,282.6081158995377
2020-05-13,-4.264007568359375,-8.948004150390602,289.3739929199219,281.9379943847656,-1.4107837596799195,-0.8761581792803521,285.1099853515625,272.989990234375,287.96320916024195,281.06183620548524
2020-05-14,-3.5940063476562614,-1.1619995117187614,289.9239929199219,282.5019958496094,-2.1992764700484813,-1.5512684744186909,286.3299865722656,281.3399963378906,287.7247164498734,280.9507273751907
2020-05-15,6.4320068359375,9.112011718750011,290.3179931640625,283.58800048828124,-1.2056013415478388,-0.6295932812208307,296.75,292.70001220703125,289.11239182251467,282.9584072070604
2020-05-18,3.7559997558593636,5.040008544921875,292.45399169921876,286.9100036621094,-1.210528273480559,-1.6313229105393134,296.2099914550781,291.95001220703125,291.2434634257382,285.27868075157005
2020-05-19,2.9039978027343523,4.520001220703136,294.96599731445315,291.0500061035156,0.23182584816911378,0.3380849295338645,297.8699951171875,295.57000732421875,295.1978231626223,291.3880910330495
2020-05-20,0.8440124511718636,0.26399536132811363,296.8260009765625,293.42600708007814,0.22781393133308675,-0.09064317701949183,297.6700134277344,293.69000244140625,297.05381490789557,293.33536390305864
2020-05-21,-2.28399658203125,-0.7580017089843523,297.91400146484375,293.9780029296875,0.21398811402752863,0.2654290396212389,295.6300048828125,293.2200012207031,298.1279895788713,294.24343196930874
2020-05-22,2.8039978027343864,0.49799194335935226,299.38600463867186,294.9619995117188,0.06559758752653816,0.22551197725179192,302.19000244140625,295.4599914550781,299.4516022261984,295.1875114889706
2020-05-26,2.3900024414062386,0.5739990234375227,301.1800048828125,296.29599609375,0.20349084437422657,0.2847719061096259,303.57000732421875,296.8699951171875,301.38349572718676,296.58076799985963
2020-05-27,4.201995849609375,4.787994384765625,302.63800048828125,297.4519958496094,0.18942946523404888,0.28559452886892794,306.8399963378906,302.239990234375,302.8274299535153,297.73759037847833
2020-05-28,0.20599365234375,0.05000610351561363,304.7539978027344,299.4199951171875,0.20377453854448502,-0.7915464675688725,304.9599914550781,299.4700012207031,304.9577723412789,298.62844864961863
2020-05-29,0.26799316406248863,1.7119995117187727,305.94199829101564,301.347998046875,0.21315474899522774,0.24131831797139464,306.2099914550781,303.05999755859375,306.1551530400109,301.58931636484635
2020-06-01,0.25800781250001137,1.1380065917968523,307.8719970703125,303.9619995117188,0.26090755488597045,0.25687341684967085,308.1300048828125,305.1000061035156,308.1329046251985,304.21887292856843
2020-06-02,4.116003417968727,4.610003662109364,309.1039978027344,305.3299987792969,0.23969748032958232,0.263117765309709,313.2200012207031,309.94000244140625,309.343695283064,305.5931165446066
2020-06-03,0.634002685546875,0.21198730468751137,312.3659973144531,308.8679992675781,0.21847213653746972,0.21938147377630055,313.0,309.0799865722656,312.5844694509906,309.0873807413544
2020-06-04,5.4639892578125,4.978002929687477,315.8059997558594,312.1820007324219,-1.283128646315614,-0.8242871600267281,321.2699890136719,317.1600036621094,314.52287110954376,311.35771357239514
2020-06-05,4.574005126953125,4.59600830078125,318.83599853515625,315.03399658203125,0.09368311334000619,-0.8256419050066199,323.4100036621094,319.6300048828125,318.9296816484962,314.20835467702466
2020-06-08,2.6099975585937614,2.6699890136718523,320.6700012207031,316.68999633789065,-0.20949759686765201,-1.0338762879623173,323.2799987792969,319.3599853515625,320.46050362383545,315.65612004992835
2020-06-09,1.8900146484375,3.3440002441406023,320.5,314.8760009765625,-0.38960091266549984,-1.6313229105393134,322.3900146484375,318.2200012207031,320.1103990873345,313.2446780660232
2020-06-10,-5.912005615234364,-11.15399169921875,318.06199951171874,311.16400146484375,-1.210528273480559,-1.6313229105393134,312.1499938964844,300.010009765625,316.85147123823816,309.5326785543044
2020-06-11,-5.956011962890614,-7.985992431640625,315.03599853515624,306.58599853515625,-2.1525937932235037,-1.5784255341739657,309.0799865722656,298.6000061035156,312.88340474193274,305.0075730009823
2020-06-12,-5.228002929687477,-7.508013916015614,313.50800170898435,304.2480041503906,-1.8916610031021621,-1.5512684744186909,308.2799987792969,296.739990234375,311.6163407058822,302.6967356759719
2020-06-15,3.7320129394531136,4.894012451171875,311.9080017089844,302.7760009765625,-2.1992764700484813,-1.5512684744186909,315.6400146484375,307.6700134277344,309.7087252389359,301.2247325021438
