Date,persis_high,persis_low,tmr_high,tmr_low,predicted_high,predicted_low
2020-08-10,335.7699890136719,332.9599914550781,337.5400085449219,332.010009765625,335.72446936990144,332.7002349375789
2020-08-11,337.5400085449219,332.010009765625,338.2799987792969,335.4100036621094,336.11849203456626,332.9396343463863
2020-08-12,338.2799987792969,335.4100036621094,338.25,335.8299865722656,337.08684863440425,333.4781857660467
2020-08-13,338.25,335.8299865722656,337.4200134277344,335.6199951171875,336.8518228428987,333.7213319241742
2020-08-14,337.4200134277344,335.6199951171875,338.3399963378906,336.8500061035156,337.639375091899,334.00279532916505
2020-08-17,338.3399963378906,336.8500061035156,339.1000061035156,336.6099853515625,337.63374288975064,334.07919353155927
2020-08-18,339.1000061035156,336.6099853515625,339.6099853515625,336.6199951171875,337.6973429054038,333.9550851105969
2020-08-19,339.6099853515625,336.6199951171875,338.79998779296875,335.2200012207031,337.6985483536842,333.9916155235433
2020-08-20,338.79998779296875,335.2200012207031,339.7200012207031,337.54998779296875,337.71510087734254,334.0760990389649
2020-08-21,339.7200012207031,337.54998779296875,343.0,339.45001220703125,337.7099437118152,333.95474258856615
2020-08-24,343.0,339.45001220703125,344.2099914550781,342.2699890136719,337.667641656093,333.8739570975916
2020-08-25,344.2099914550781,342.2699890136719,347.8599853515625,344.1700134277344,337.7066080751313,333.85949778672693
2020-08-26,347.8599853515625,344.1700134277344,349.8999938964844,346.5299987792969,337.7099437118152,333.95474258856615
2020-08-27,349.8999938964844,346.5299987792969,350.7200012207031,348.1499938964844,337.7099437118152,333.95474258856615
2020-08-28,350.7200012207031,348.1499938964844,351.29998779296875,349.05999755859375,337.7099437118152,333.95474258856615
2020-08-31,351.29998779296875,349.05999755859375,352.7099914550781,349.239990234375,337.7099437118152,333.95474258856615
2020-09-01,352.7099914550781,349.239990234375,358.75,353.42999267578125,337.7099437118152,333.95474258856615
2020-09-02,358.75,353.42999267578125,356.3800048828125,342.5899963378906,337.7099437118152,333.95474258856615
2020-09-03,356.3800048828125,342.5899963378906,347.8299865722656,334.8699951171875,337.7099437118152,333.95474258856615
2020-09-04,347.8299865722656,334.8699951171875,342.6400146484375,332.8800048828125,337.70624126837447,333.95474258856615
2020-09-08,342.6400146484375,332.8800048828125,342.4599914550781,336.6099853515625,337.106590744261,333.6034718485617
2020-09-09,342.4599914550781,336.6099853515625,342.5299987792969,332.8500061035156,337.5900801457345,333.8739570975916
2020-09-10,342.5299987792969,332.8500061035156,336.9700012207031,331.0,336.70490067331076,333.3759939786499
2020-09-11,336.9700012207031,331.0,340.3800048828125,334.2200012207031,337.09606341919516,333.50981592860364
2020-09-14,340.3800048828125,334.2200012207031,342.0199890136719,338.4700012207031,337.1161937238562,333.7322187696771
2020-09-15,342.0199890136719,338.4700012207031,343.05999755859375,338.5199890136719,337.27815543135415,333.55481414760425
2020-09-16,343.05999755859375,338.5199890136719,337.70001220703125,332.989990234375,337.6525679416097,333.92721888754926
2020-09-17,337.70001220703125,332.989990234375,335.489990234375,327.9700012207031,337.49235621667316,333.65773728270574
2020-09-18,335.489990234375,327.9700012207031,327.1300048828125,321.7300109863281,336.3193495312474,332.49625818555137
2020-09-21,327.1300048828125,321.7300109863281,327.1300048828125,321.7300109863281,328.5596193857,323.2362469227963
